,total_housing,housing_error,totalGas,gasError,totalElec,elecError
"Otter Tail County, Minnesota: Summary level: 050, state:27> county:111",24687,299,7471,341,7006,301
"Waseca County, Minnesota: Summary level: 050, state:27> county:161",7425,143,4474,220,910,172
"St. Louis County, Minnesota: Summary level: 050, state:27> county:137",85807,756,41025,800,15899,574
"Anoka County, Minnesota: Summary level: 050, state:27> county:003",128198,456,109619,963,12954,705
"Stearns County, Minnesota: Summary level: 050, state:27> county:145",59479,467,31042,694,15809,717
"Dakota County, Minnesota: Summary level: 050, state:27> county:037",161488,587,134066,1034,19874,972
"Lyon County, Minnesota: Summary level: 050, state:27> county:083",10018,178,3908,250,3420,223
"Marshall County, Minnesota: Summary level: 050, state:27> county:089",3971,87,1007,85,1057,84
"Renville County, Minnesota: Summary level: 050, state:27> county:129",6085,128,2774,125,1233,122
"Washington County, Minnesota: Summary level: 050, state:27> county:163",94431,505,76858,783,13802,684
"Cook County, Minnesota: Summary level: 050, state:27> county:031",2691,163,120,47,890,127
